0-4VQL ,NPL-WH ,Outer Passage 
0-ARFO ,7X-X1Y ,Fade 
0-G8NO ,ZPI-2E ,Detorid 
0-U2M4 ,TPB-KG ,Perrigen Falls 
0-VG7A ,0-YMZM ,Insmother 
0-WVQS ,Belt ,Outer Ring 
0-XIDJ ,E-I1JW ,Venal 
01TG-J ,05M-I1 ,Impass 
08S-39 ,NOK-FZ ,Period Basis 
0D-CHA ,Sole ,Outer Ring 
0LTQ-C ,49A-BZ ,Syndicate 
0LY-W1 ,FQ-COP ,Cache 
0MV-4W ,5YHF-H ,Vale of the Silent 
0P-U0Q ,6I-3VX ,Tenerifis 
12YA-2 ,U8-CWA ,Pure Blind 
15U-JY ,Chimera ,Fountain 
16AM-3 ,50-5UD ,Tenerifis 
1GT-MA ,N4TD-6 ,Cobalt Edge 
1KAW-T ,RFQ-8Y ,Detorid 
1N-FJ8 ,DILJ-7 ,Vale of the Silent 
1NZV-7 ,3TS-12 ,Malpais 
1PF-BC ,H7Q-DG ,Etherium Reach 
1QZ-Y9 ,DITJ-X ,Scalding Pass 
1VK-6B ,A3-T8B ,Vale of the Silent 
1W-0KS ,A3-T8B ,Vale of the Silent 
1ZF-PJ ,TL-FDN ,Insmother 
2-F3OE ,3-U491 ,Feythabolis 
2-KPW6 ,ENP-SH ,Scalding Pass 
25S-6P ,BRP2-K ,Catch 
28O-JY ,Miennue ,Cloud Ring 
2B-3M4 ,WF-OP4 ,Stain 
2B7A-3 ,LIB-F9 ,Branch 
2G38-I ,JQV5-9 ,Syndicate 
2IGP-1 ,U7L-MQ ,Stain 
2PLH-3 ,Y8-HHZ ,Venal 
2UK4-N ,JQA8-6 ,Feythabolis 
2ULC-J ,U-IOR1 ,Outer Passage 
2V-CS5 ,H-KW4A ,Providence 
2WU-XT ,6GU-AT ,Outer Passage 
3-BADZ ,YZKE-Q ,Feythabolis 
3-JG3X ,04-LOF ,Oasa 
3-LJW3 ,MZ-PA2 ,Detorid 
33RB-O ,N-U2LX ,Deklein 
373Z-7 ,Z01V-Z ,Stain 
37S-KO ,XJ-0RG ,Stain 
39-DGG ,8K-CHA ,Geminate 
3D5K-R ,XLL-Z7 ,Querious 
3DR-CR ,M-J57M ,Tenal 
3GD6-8 ,9HXQ-G ,Catch 
3IK-7O ,J-78ZG ,Etherium Reach 
3JN9-Q ,A21H-Z ,Deklein 
3L3N-X ,QP6B-I ,Tenerifis 
3PPT-9 ,I-CCEI ,Paragon Soul 
3Q-VZA ,5Y1E-3 ,Wicked Creek 
4-07MU ,BRP2-K ,Catch 
4-1ECP ,L7-RDZ ,Perrigen Falls 
4-ABS8 ,G8-D09 ,Pure Blind 
4-CUM5 ,IPS-QB ,Geminate 
4-EFLU ,J-9M7D ,Wicked Creek 
4-QDIX ,SLYP-5 ,Etherium Reach 
42-UOW ,VH1-NS ,Stain 
4AZV-W ,NOB-HD ,Outer Passage 
4CJ-AC ,0EA3-8 ,Insmother 
4DTQ-K ,KWCZ-A ,Branch 
4E-EZS ,7VJ-7M ,Scalding Pass 
4K0N-J ,RJ-1R7 ,Geminate 
4M-P1I ,DYK-G8 ,Great Wildlands 
4NDT-W ,5F8-PZ ,Detorid 
4O-ZRI ,KPU3-3 ,Outer Passage 
4OIV-X ,5J-SSP ,Impass 
4RX-EE ,W9MQ-1 ,Venal 
4XW2-D ,Z01V-Z ,Stain 
5-2PQU ,8-4EFQ ,Insmother 
5-FGQI ,YFN-UN ,Syndicate 
5-O8B1 ,TJ10-O ,Tenal 
5-T0PZ ,TA-A7V ,Syndicate 
5-VKCN ,59H-0G ,Syndicate 
51-5XG ,QS-FVH ,Syndicate 
52G-NZ ,E-312G ,Branch 
57-YRU ,QS-FVH ,Syndicate 
5C-RPA ,R-CL2W ,Insmother 
5E-EZC ,HNZF-Z ,Cobalt Edge 
5ED-4E ,BB-48X ,Cobalt Edge 
5HN-D6 ,G3-MU3 ,Cobalt Edge 
5J4K-9 ,RFQ-8Y ,Detorid 
5NQI-E ,GU-JZ1 ,Wicked Creek 
5T-KM3 ,0-8MWQ ,Vale of the Silent 
5W3-DG ,S-B1E4 ,Deklein 
5ZXX-K ,U-7RBK ,Pure Blind 
6-4V20 ,Tinnimerci ,Cloud Ring 
6-CZ49 ,2-M6DE ,Syndicate 
6-I162 ,YENX-U ,Immensea 
6-KPAB ,YCM-AI ,Scalding Pass 
617I-I ,MK7-AO ,Syndicate 
62O-UE ,4SRW-B ,Detorid 
6E-MOW ,O6W-QE ,Impass 
6EK-BV ,3WN-1T ,Esoteria 
6F-H3W ,Unicorn ,Fountain 
6FS-CZ ,U-HSM3 ,The Kalevala Expanse 
6L78-1 ,NK-AOZ ,Geminate 
6O-XIO ,L-H07K ,Feythabolis 
6OYQ-Z ,GFE-SS ,Tenal 
6QBH-S ,W-ULNA ,Stain 
6U-MFQ ,F-W6B4 ,Oasa 
6WW-28 ,YUT3-U ,Vale of the Silent 
7-8EOE ,RL36-K ,Omist 
7-A6XV ,NZU8-G ,Detorid 
7-K5EL ,OSJ7-I ,Vale of the Silent 
77-KDQ ,Balenne ,Cloud Ring 
7BX-6F ,Chimera ,Fountain 
7D-PAT ,E-72A3 ,Tenal 
7LHB-Z ,T-1WDH ,Catch 
7Q-8Z2 ,Q-PVMK ,Great Wildlands 
7T-0QS ,PX0-P4 ,Malpais 
7X-02R ,Centaur ,Fountain 
8-AA98 ,U-IOR1 ,Outer Passage 
8-OZU1 ,AC-RON ,Wicked Creek 
86L-9F ,2Q-8WA ,The Kalevala Expanse 
87-1PM ,BB-48X ,Cobalt Edge 
87XQ-0 ,Hydra ,Fountain 
88A-RA ,QA-P7J ,Insmother 
89-JPE ,SLYP-5 ,Etherium Reach 
8B-SAJ ,9NP-KR ,Querious 
8DL-CP ,U-3HAO ,Great Wildlands 
8F-TK3 ,LSC-4P ,Delve 
8KE-YS ,8AO-5V ,Etherium Reach 
8P9-BM ,5-88B9 ,Providence 
8R-RTB ,Tinnimerci ,Cloud Ring 
9-02G0 ,5P4-QA ,Detorid 
9-266Q ,ST-0EZ ,Venal 
9-8GBA ,N-OGI1 ,Catch 
9-980U ,W-3E44 ,Tenerifis 
9-ZA4Z ,Q0-4FU ,Perrigen Falls 
92K-H2 ,N32Z-Z ,Venal 
99-0GS ,U7-GIV ,Omist 
9IPC-E ,W9MQ-1 ,Venal 
9MWZ-B ,O5QG-M ,Omist 
9N-0HF ,5F8-PZ ,Detorid 
9P-870 ,4M6-GJ ,Etherium Reach 
9PX2-F ,4YFT-F ,Scalding Pass 
9U-TTJ ,GN-ACS ,Syndicate 
9UY4-H ,G2E-RJ ,Providence 
A-5M31 ,Sole ,Outer Ring 
A-BO4V ,A-Z7C9 ,Querious 
A-GPTM ,XJ-0RG ,Stain 
A-HZYL ,Kraken ,Fountain 
A1F-22 ,WXB-RY ,Perrigen Falls 
A1RR-M ,2-ZRM0 ,Tenal 
A3-LOG ,H-6HGD ,Querious 
Abai ,Rifenda ,Tash-Murkon 
Abha ,Mal ,Derelik 
Abudban ,Ortner ,Heimatar 
AC-7LZ ,EL8Z-M ,Immensea 
AC2E-3 ,Wyvern ,Fountain 
Access ,Monalaz ,Genesis 
Adahum ,Sanair ,Tash-Murkon 
Adallier ,Anwyns ,Verge Vendor 
Adiere ,Agiesseson ,Sinq Laison 
Adrallezoen ,Wyllequet ,Sinq Laison 
Adrel ,Thoulde ,Essence 
Aeter ,Orvanne ,Solitude 
Afivad ,Qeti ,Domain 
Agha ,Mekashtad ,Derelik 
Agtver ,Stadakorn ,Metropolis 
AH-B84 ,304-QS ,Branch 
Aharalel ,Megeh ,Kador 
Ahkour ,Rifenda ,Tash-Murkon 
Ahrosseas ,Sanair ,Tash-Murkon 
Ahtulaima ,Ruomo ,The Forge 
Aikoro ,Arekin ,The Citadel 
Aivoli ,Malariya ,Lonetrek 
Aivonen ,Ishaga ,Black Rise 
Ajanen ,Kainokai ,Lonetrek 
AJCJ-1 ,UTZ-7B ,Venal 
Akhrad ,Mekashtad ,Derelik 
Akkio ,Mivora ,The Forge 
Akora ,Ihatalo ,The Forge 
Aldilur ,Gedur ,Metropolis 
Alenia ,Anwyns ,Verge Vendor 
Algasienan ,Josmaert ,Placid 
Algogille ,Crux ,Essence 
Alles ,Firille ,Sinq Laison 
Alsavoinon ,Amevync ,Placid 
Altbrard ,Almur ,Molden Heath 
Amattens ,Osnins ,Everyshore 
Ameinaka ,Ortner ,Heimatar 
Ami ,Jatari ,Kor-Azor 
Amoen ,Mallugier ,Placid 
Ana ,Maseend ,Domain 
Anckee ,Braille ,Solitude 
Andole ,Eustron ,Essence 
Andrub ,Nimedaz ,Kor-Azor 
Anka ,Vaarma ,The Bleak Lands 
Annad ,Nimedaz ,Kor-Azor 
Ansasos ,Heti ,Kador 
Antollare ,Elalan ,Everyshore 
APES-G ,G-HISF ,Malpais 
Arakor ,Peges ,Tash-Murkon 
Arant ,Vieres ,Essence 
Arayar ,Jayai ,Devoid 
Arbaz ,Parud ,Domain 
ARBX-9 ,17K-QM ,Paragon Soul 
Ardar ,Tiat ,Metropolis 
Ardhis ,Favo ,Kador 
Ardishapur Prime ,Sosarir ,Domain 
Arifsdald ,Fribrodi ,Metropolis 
Arnon ,Peccanouette ,Essence 
Arnstur ,Aldodan ,Metropolis 
Arraron ,Aideron ,Verge Vendor 
Arzad ,Semou ,Devoid 
Arzieh ,Akar ,Khanid 
Asabona ,Anares ,Derelik 
Aset ,Eugidi ,Metropolis 
Asgeir ,Lorundio ,Metropolis 
Asghatil ,Oraron ,Derelik 
Ashab ,Parud ,Domain 
Ashmarir ,Youledian ,Khanid 
Asrios ,Qermi ,Kador 
Athinard ,Odilis ,Everyshore 
Atonder ,Argeir ,Metropolis 
Aubonnie ,Mallugier ,Placid 
Augnais ,Algintal ,Sinq Laison 
Aulbres ,Ganoure ,Placid 
Auner ,Tiat ,Metropolis 
Aunia ,Coriault ,Sinq Laison 
Aurejet ,Arniri ,Khanid 
Avair ,Liela ,Domain 
AX-DOT ,9HXQ-G ,Catch 
B-F1MI ,RJ-1R7 ,Geminate 
B-G1LG ,JG-ZLG ,Stain 
B-II34 ,V2S-RH ,Insmother 
B-VIP9 ,V-4QJC ,Great Wildlands 
B-XJX4 ,T-1WDH ,Catch 
B9EA-G ,Z6T6-B ,The Spire 
Balle ,Disier ,Sinq Laison 
Bamiette ,Lolbrerie ,Sinq Laison 
Basgerin ,Firille ,Sinq Laison 
Bayuka ,Sazdih ,Derelik 
Bazadod ,Mayonhen ,Aridia 
BEG-RL ,VT-LHB ,Perrigen Falls 
Bekirdod ,Subi ,Derelik 
Bersyrim ,Pezarba ,Kador 
BM-VYZ ,3NA-Z1 ,The Kalevala Expanse 
Bogelek ,Akimamur ,Heimatar 
Boranai ,Throne Worlds ,Domain 
Bosboger ,Huvilma ,Heimatar 
BOZ1-O ,T875-C ,Detorid 
BR-6XP ,E-8CSQ ,Vale of the Silent 
BU-IU4 ,T-RQ7S ,Branch 
BVRQ-O ,78-6RI ,The Kalevala Expanse 
BW-WJ2 ,QP6B-I ,Tenerifis 
BWF-ZZ ,IPS-QB ,Geminate 
BY-S36 ,49A-BZ ,Syndicate 
C-LP3N ,Q5KW-Z ,Branch 
C-PEWN ,O-PQU0 ,Esoteria 
C-VGYO ,XPBM-F ,Branch 
C-WPWH ,O5QG-M ,Omist 
C0T-77 ,Crown ,Outer Ring 
C1G-XC ,V2S-RH ,Insmother 
C2X-M5 ,LLAP-1 ,Tribute 
C3J0-O ,U-HSM3 ,The Kalevala Expanse 
C6C-K9 ,OC-TTA ,The Spire 
C8VC-S ,03C-SU ,Tribute 
Cailanar ,Yestadan ,Domain 
Central Point ,EVE ,Genesis 
CHA2-Q ,Satyr ,Fountain 
Chamja ,Mih ,Genesis 
Chamume ,Emsek ,Tash-Murkon 
Channace ,Anwyns ,Verge Vendor 
Chanoun ,Araz ,Kador 
Charmerout ,Patrie ,Essence 
Cherore ,Chasnaye ,Everyshore 
Chibi ,Mayonhen ,Aridia 
CHP-76 ,DA0V-R ,Cobalt Edge 
CIS-7X ,SKX-PL ,Syndicate 
CJF-1P ,W-ULNA ,Stain 
CJNF-J ,RTCU-5 ,Immensea 
CL-J9W ,3-U491 ,Feythabolis 
Claulenne ,Ancbeu ,Verge Vendor 
CNHV-M ,KPU3-3 ,Outer Passage 
Colelie ,Algintal ,Sinq Laison 
CR-0E5 ,JSZ-X6 ,Esoteria 
Crielere ,Lolbrerie ,Sinq Laison 
Croleur ,Wyllequet ,Sinq Laison 
CT7-5V ,Regalia ,Outer Ring 
CT8K-0 ,1VN-XC ,Etherium Reach 
Cumemare ,Alselbosier ,Placid 
CX-1XF ,GP-GIU ,Branch 
D-0UI0 ,PR-ACX ,Detorid 
D-6WS1 ,I9B-8X ,Providence 
D-FVI7 ,Q-2BI6 ,Esoteria 
D-I9HJ ,KR-XF4 ,Geminate 
D-W7F0 ,SPNZ-Z ,Delve 
DAI-SH ,E6EO-H ,Malpais 
Dastryns ,Fislipesnes ,Placid 
DDI-B7 ,QZJ-FL ,Impass 
DE71-9 ,AP-S8F ,Great Wildlands 
Defsunun ,Leseasesh ,Aridia 
DGDT-3 ,WE-WLQ ,Oasa 
Dihra ,Ryra ,Devoid 
Dimoohan ,Homroon ,Khanid 
DJK-67 ,5Z0Y-S ,Omist 
DK0-N8 ,XHL-TZ ,Cobalt Edge 
Dom-Aphis ,Mih ,Genesis 
Doussivitte ,Agiesseson ,Sinq Laison 
Dunraelare ,Jonenor ,Sinq Laison 
DUU1-K ,I-3ODK ,Feythabolis 
DUV-5Y ,6-V49K ,Syndicate 
DY-40Z ,1A-WYQ ,Impass 
E-B957 ,G3-MU3 ,Cobalt Edge 
E-BFLT ,Z6T6-B ,The Spire 
E-BYOS ,SI1-CF ,Cobalt Edge 
E-DOF2 ,NOK-FZ ,Period Basis 
E-FIC0 ,S-B1E4 ,Deklein 
E-VKJV ,4QZ-2M ,Querious 
E-WMT7 ,B-MQ0Y ,Perrigen Falls 
E3-SDZ ,T-1WDH ,Catch 
E51-JE ,NZU8-G ,Detorid 
E7VE-V ,05M-I1 ,Impass 
Earwik ,Inkelm ,Metropolis 
Ebidan ,Throne Worlds ,Domain 
Ebtesham ,Norgoh ,Domain 
ED-L9T ,LI-BA0 ,Querious 
Egbonbet ,Stadakorn ,Metropolis 
Eglennaert ,Coriault ,Sinq Laison 
Egmar ,Angils ,Metropolis 
EIH-IU ,J-9M7D ,Wicked Creek 
EK2-ET ,XHYS-O ,Venal 
EKPB-3 ,IV-LWJ ,Insmother 
Ekura ,Okela ,Lonetrek 
Enaluri ,Ishaga ,Black Rise 
EOY-BG ,M-J57M ,Tenal 
EPCD-D ,3NA-Z1 ,The Kalevala Expanse 
Erindur ,Hulf ,Metropolis 
Erstet ,Ergruk ,Metropolis 
Erstur ,Aptetter ,Metropolis 
Erzoh ,Qeti ,Domain 
ES-UWY ,Rapture ,Curse 
Esteban ,Kehina ,Domain 
Esubara ,Leseasesh ,Aridia 
Eszur ,Essin ,Metropolis 
ETO-OT ,OC-TTA ,The Spire 
EU0I-T ,SKX-PL ,Syndicate 
EUU-4N ,0-YMZM ,Insmother 
Evaulon ,Amevync ,Placid 
EX-0LQ ,ZW-BY5 ,Catch 
Eygfe ,Ankard ,Metropolis 
Eystur ,Sveipar ,Heimatar 
F-749O ,X-VN63 ,Tribute 
F-9PXR ,1-A81R ,Delve 
F-TQWO ,1M4-FN ,Malpais 
F-UVBV ,R2-BT6 ,Esoteria 
F-ZBO0 ,BZZ-1U ,Tenerifis 
F2-NXA ,QI1M-Q ,Scalding Pass 
F3-8X2 ,N-LY4R ,Insmother 
F39H-1 ,E-95ID ,Insmother 
F4R2-Q ,EM-L3K ,Catch 
F5-CGW ,T-W4L3 ,Great Wildlands 
F5FO-U ,Heart ,Outer Ring 
F69O-M ,PG-RWX ,Etherium Reach 
F9E-KX ,UX3-N2 ,Catch 
Fabin ,Kekah ,Domain 
Fanathor ,Alpakian ,Khanid 
Faspera ,Ananah ,Derelik 
Faswiba ,Mofa ,Domain 
FD-MLJ ,Z-6NQ6 ,Syndicate 
FDZ4-A ,N-K4Q0 ,Geminate 
FE-6YQ ,CL-QB2 ,Tenerifis 
Fihrneh ,Ombil ,Aridia 
Fildar ,Ankard ,Metropolis 
Firbha ,Fekhoya ,Khanid 
Fluekele ,Algintal ,Sinq Laison 
Fovihi ,Kalangin ,Derelik 
Frarn ,Odengsolf ,Heimatar 
FRTC-5 ,IJE6-J ,Immensea 
FS-RFL ,BUG6-X ,Vale of the Silent 
FSW-3C ,4BZ-R3 ,Providence 
FV-SE8 ,Y-2D6Q ,Stain 
FV-YEA ,QJ2-0M ,Cobalt Edge 
FV1-RQ ,I-WRVM ,Cobalt Edge 
FYD-TO ,P-I9PF ,Scalding Pass 
G-4H4C ,AJG-MV ,Esoteria 
G-AOTH ,T-HHHT ,Catch 
G-G78S ,Tranquility ,Curse 
G-ME2K ,H26A-B ,Stain 
G-UTHL ,Griffin ,Fountain 
G-YZUX ,3WN-1T ,Esoteria 
G2-INZ ,KUSW-P ,Esoteria 
G8AD-C ,Prelle ,Cloud Ring 
G9L-LP ,AC-RON ,Wicked Creek 
Galeh ,Mofa ,Domain 
Gallareue ,Jonenor ,Sinq Laison 
Gallusiene ,Mallugier ,Placid 
GC-LTF ,PR-ACX ,Detorid 
GDHN-K ,0EA3-8 ,Insmother 
GE-94X ,ZW-BY5 ,Catch 
Gidali ,Amdimmah ,Khanid 
GK5Z-T ,0EA3-8 ,Insmother 
GL6S-2 ,GDBW-2 ,Malpais 
GN-PDU ,4YFT-F ,Scalding Pass 
GN7-XY ,ZQ2-CF ,Providence 
GPD5-0 ,760-9C ,Wicked Creek 
GQ2S-8 ,GEP-XF ,Paragon Soul 
GR-X26 ,5F8-PZ ,Detorid 
GTB-O4 ,E1L-UY ,The Spire 
GU-9F4 ,QZJ-FL ,Impass 
Gulfonodi ,Fittakan ,Molden Heath 
Gyerzen ,Mise ,Tash-Murkon 
H-29TM ,4LEZ-6 ,Perrigen Falls 
H-EBQG ,WS5L-X ,Malpais 
H-HWQR ,AU-S0B ,Tenerifis 
H-NOU5 ,UK-MI6 ,Vale of the Silent 
H-S80W ,Kraken ,Fountain 
H4X-0I ,P-FL48 ,The Spire 
H5N-V7 ,Y-M7ML ,Scalding Pass 
H8-ZTO ,TCC-ZV ,Paragon Soul 
H90-C9 ,U7-GIV ,Omist 
Habu ,Charak ,Genesis 
Hadji ,Mih ,Genesis 
Hadonoo ,Avib ,Domain 
Hahyil ,Aguh ,Derelik 
Haine ,Arand ,Essence 
Hakeri ,Panorad ,Metropolis 
Hakodan ,Ichida ,The Bleak Lands 
Hakonen ,Mito ,Lonetrek 
Hakshma ,Daredan ,Devoid 
Halenan ,Enka ,Devoid 
Halibai ,Trigentia ,Kador 
Hasama ,Ieyama ,The Citadel 
Hasateem ,Bedaleya ,Derelik 
HB-1NJ ,L-TEVM ,Great Wildlands 
HB-5L3 ,N4TD-6 ,Cobalt Edge 
HBD-CC ,E-I1JW ,Venal 
HD-AJ7 ,5ZR-29 ,Wicked Creek 
HD-HOZ ,8UD2-J ,The Kalevala Expanse 
Hedaleolfarber ,Almur ,Molden Heath 
Hegfunden ,Elfrard ,Molden Heath 
Hesarid ,Ashela ,Genesis 
Heydieles ,Jeon ,Essence 
HG-YEQ ,MW49-U ,Malpais 
HHE5-L ,AJG-MV ,Esoteria 
HIK-MC ,Z6T6-B ,The Spire 
Hikansog ,Naloran ,Kador 
Hilaban ,Arvachah ,Tash-Murkon 
Hilfhurmur ,Brazinget ,Metropolis 
Hiremir ,Pezarba ,Kador 
Hishai ,Finaka ,Khanid 
Hjoramold ,Ani ,Metropolis 
HKYW-T ,KR-XF4 ,Geminate 
HL-VZX ,FD-7Y4 ,Insmother 
HM-XR2 ,B4H-9W ,Delve 
HMF-9D ,Chimera ,Fountain 
HO4E-Q ,D4J-PP ,Oasa 
Hodrold ,Hulf ,Metropolis 
Hoona ,Mimishia ,Tash-Murkon 
Hoseen ,Ombil ,Aridia 
HP-6Z6 ,H-KW4A ,Providence 
HPBE-D ,5Y1E-3 ,Wicked Creek 
HPV-RJ ,U-HSM3 ,The Kalevala Expanse 
Hrokkur ,Tartatven ,Molden Heath 
Hulmate ,Balrille ,Essence 
Huna ,Selonat ,Aridia 
Hutian ,Mazake ,Domain 
Hykanima ,Urpiken ,Black Rise 
Hysera ,Otawasa ,The Citadel 
I-7JR4 ,T-RQ7S ,Branch 
I-8D0G ,XR9-LP ,Catch 
I-9GI1 ,HOV-VI ,Detorid 
I-CUVX ,Hydra ,Fountain 
I-MGAB ,Q-6LG1 ,Providence 
I6-SYN ,5HN-S5 ,Cache 
I9-ZQZ ,42-WDG ,Feythabolis 
IAK-JW ,WQZ8-4 ,Scalding Pass 
IBOX-2 ,4R-HUN ,Malpais 
IG-4OF ,0PS-L5 ,Oasa 
IGE-RI ,Sphinx ,Fountain 
Ihal ,Ananah ,Derelik 
Ikoskio ,Kurala ,Black Rise 
Illamur ,Besateoden ,Molden Heath 
Immuri ,Ishaga ,Black Rise 
Innia ,Inolari ,Black Rise 
IO-R2S ,3RU-10 ,Oasa 
IP6V-X ,O5K-Y6 ,Delve 
IPX-H5 ,9D1V-O ,Esoteria 
IRD-HU ,RDD-E6 ,Etherium Reach 
Irjunen ,Suon ,The Citadel 
IS-R7P ,NNLX-K ,Catch 
Isenan ,Arand ,Essence 
Ishomilken ,Ieyama ,The Citadel 
Isid ,Mareerieh ,Aridia 
Isseras ,Sela ,Lonetrek 
Isutaka ,Outartoh ,The Citadel 
Ithar ,Qermi ,Kador 
Itsyamil ,Kabo ,Devoid 
Ivih ,Mise ,Tash-Murkon 
IX8-JB ,T-W4L3 ,Great Wildlands 
Iyen-Oursta ,Gallente Border Zone ,Sinq Laison 
J-AYLV ,V-H3V0 ,Stain 
J-OAH2 ,2Q-8WA ,The Kalevala Expanse 
J-RXYN ,760-9C ,Wicked Creek 
J52-BH ,BI-NFW ,Branch 
J7-BDX ,0FC-ZX ,Wicked Creek 
J7A-UR ,Paradise ,Curse 
J7X-VN ,6GU-AT ,Outer Passage 
J9A-BH ,WXB-RY ,Perrigen Falls 
JA-G0T ,4R-HUN ,Malpais 
JA-O6J ,A-JI5E ,Catch 
Jakanerva ,Okomon ,The Forge 
