0-4VQL ,NPL-WH ,Outer Passage 
Jambu ,Nakid ,Domain 
JAUD-V ,8T-OLH ,Esoteria 
JC-YX8 ,U8-CWA ,Pure Blind 
Jennim ,Moghiz ,Kador 
JEQG-7 ,GU-JZ1 ,Wicked Creek 
JGOW-Y ,Sphinx ,Fountain 
JI1-SY ,G3IP-E ,Tenerifis 
JKJ-VJ ,Wield ,Outer Ring 
JLO-Z3 ,02QH-A ,Scalding Pass 
Jondik ,Ankard ,Metropolis 
Joppaya ,Mazake ,Domain 
JPEZ-R ,VT-LHB ,Perrigen Falls 
JQU-KY ,RF9-ZU ,Wicked Creek 
JT2I-7 ,6-CBBM ,The Kalevala Expanse 
JU-UYK ,Z01V-Z ,Stain 
Juddi ,Mossas ,Derelik 
JWZ2-V ,XR9-LP ,Catch 
JXQJ-B ,4ZXC-8 ,Oasa 
JZ-B5Y ,VSC-W9 ,Cache 
JZ-UQC ,VT-LHB ,Perrigen Falls 
JZV-F4 ,88G-M4 ,Vale of the Silent 
K-MGJ7 ,Tranquility ,Curse 
K-X5AX ,I-3ODK ,Feythabolis 
K-XJJT ,J0-59Y ,The Spire 
K-YL9T ,E1L-UY ,The Spire 
K1Y-5H ,P6N8-J ,Providence 
K3JR-J ,48R-PS ,Venal 
K42-IE ,8K-CHA ,Geminate 
K7-LDX ,51ZT-6 ,Scalding Pass 
K76A-3 ,XPG-HE ,The Kalevala Expanse 
Kaunokka ,Otawasa ,The Citadel 
Kausaaja ,Arekin ,The Citadel 
KBAK-I ,F-I56R ,Delve 
KCT-0A ,Sphinx ,Fountain 
KD-KPR ,IV-LWJ ,Insmother 
KED-2O ,O9X-CV ,Oasa 
KEJY-U ,8ET-D1 ,Querious 
Kerepa ,Ajah ,Tash-Murkon 
KFR-ZE ,59H-0G ,Syndicate 
KGCF-5 ,7-ZDOK ,Outer Passage 
KGT3-6 ,N-APJ8 ,Etherium Reach 
Khabara ,Jatari ,Kor-Azor 
Kirras ,Kainokai ,Lonetrek 
KMC-WI ,JE7-F2 ,Branch 
KMH-J1 ,8G-JN6 ,Etherium Reach 
KMV-CQ ,9P57-V ,Tenal 
Knophtikoo ,Mulata ,Domain 
Komaa ,Ohvarainen ,The Bleak Lands 
Komo ,Santenpaa ,The Citadel 
Konola ,Imurukka ,The Citadel 
Korama ,Sela ,Lonetrek 
KPI-OW ,OC-TTA ,The Spire 
KQK1-2 ,MDM8-J ,Pure Blind 
KR8-27 ,Y-LRWI ,Omist 
Krilmokenur ,Erada ,Heimatar 
Kuharah ,Mamouna ,Derelik 
Kuhri ,Homroon ,Khanid 
Kulelen ,Kantanen ,The Citadel 
Kurniainen ,Tandoiras ,The Bleak Lands 
Kusomonmon ,Tasen ,The Citadel 
KW-OAM ,ZQ7-QS ,Tenerifis 
L-1SW8 ,Unicorn ,Fountain 
L-AS00 ,8MJO-4 ,Omist 
L-QQ6P ,5P4-QA ,Detorid 
L-TOFR ,V1G-63 ,Geminate 
L-Z9NB ,XHL-TZ ,Cobalt Edge 
L5-UWT ,0YMH-Q ,Insmother 
L6B-0N ,W-ULNA ,Stain 
L7XS-5 ,EM-L3K ,Catch 
L8-WNE ,PR-ACX ,Detorid 
Laah ,Santenpaa ,The Citadel 
Lamadent ,Aeman ,Sinq Laison 
Lari ,Tsemshatel ,Tash-Murkon 
Larkugei ,Erada ,Heimatar 
Lasleinur ,Aldodan ,Metropolis 
LBC-AW ,ENP-SH ,Scalding Pass 
LD-2VL ,D9DM-O ,Paragon Soul 
LE-67X ,S4S-SD ,The Kalevala Expanse 
Leremblompes ,Giatole ,Everyshore 
Lermireve ,Nadire ,Sinq Laison 
LGK-VP ,5VN-B7 ,Stain 
LGL-SD ,WF-OP4 ,Stain 
Lirerim ,Rollera ,Metropolis 
LMM7-L ,BVA-YH ,Cache 
LQ-OAI ,02QH-A ,Scalding Pass 
LRWD-B ,BZ-10K ,Branch 
LS9B-9 ,0-8MWQ ,Vale of the Silent 
LW-YEW ,9BGY-6 ,Perrigen Falls 
LX-ZOJ ,NK-AOZ ,Geminate 
M-CNUD ,VS-8P0 ,Cache 
M-HU4V ,BZ-10K ,Branch 
M-NP5O ,MY-HQD ,The Spire 
M-SRKS ,F-I56R ,Delve 
M2-2V1 ,XMNF-7 ,Venal 
M4-KX5 ,TY0-Q2 ,Perrigen Falls 
M9-FIB ,5Z0Y-S ,Omist 
Madomi ,Reya ,Genesis 
Mahtista ,Ruomo ,The Forge 
Maire ,Elose ,Solitude 
Malma ,Ubar ,Genesis 
Mani ,Mise ,Tash-Murkon 
Marosier ,Ysiette ,Everyshore 
Masanuh ,Gebem ,Kor-Azor 
MC4C-H ,C9XB-L ,Outer Passage 
Mendori ,Kabo ,Devoid 
Mercomesier ,Serthoulde ,Placid 
Merolles ,Anwyns ,Verge Vendor 
Mesybier ,Patrie ,Essence 
MGAM-4 ,88G-M4 ,Vale of the Silent 
MH9C-S ,4BZ-R3 ,Providence 
Miah ,Parrosa ,Kador 
MJ-5F9 ,VT-LHB ,Perrigen Falls 
MKD-O8 ,A-Z7C9 ,Querious 
Moclinamaud ,Pegeler ,Placid 
MOCW-2 ,0-YMZM ,Insmother 
Moh ,Sazdih ,Derelik 
Mora ,Gebem ,Kor-Azor 
Mormoen ,Osnins ,Everyshore 
Moro ,Sib ,Khanid 
MQ-O27 ,A3-T8B ,Vale of the Silent 
MS1-KJ ,EIX-HK ,Tenerifis 
MTO2-2 ,TPB-KG ,Perrigen Falls 
Murzi ,Maddam ,Domain 
MXX5-9 ,UTQ-BO ,Deklein 
Mya ,Chasnaye ,Everyshore 
MZ1E-P ,RFY-QB ,Deklein 
MZLW-9 ,WE-WLQ ,Oasa 
N-I024 ,KPU3-3 ,Outer Passage 
N-O53U ,FD-7Y4 ,Insmother 
N-Q5PW ,1G-8KY ,Venal 
N-RAEL ,I3-2J0 ,Great Wildlands 
N-RMSH ,P6N8-J ,Providence 
N-TFXK ,N-U2LX ,Deklein 
N-YLOE ,XI0-X2 ,Malpais 
N5Y-4N ,48R-PS ,Venal 
N7-BIY ,N-LY4R ,Insmother 
Nadohman ,Kehina ,Domain 
Nahrneder ,Akar ,Khanid 
Nakis ,Alpakian ,Khanid 
Nakregde ,Gebem ,Kor-Azor 
Nakri ,Zemont ,Domain 
Nakugard ,Ani ,Metropolis 
Nasreri ,Fabas ,Genesis 
NB-ALM ,PR-ACX ,Detorid 
NBW-GD ,GDBW-2 ,Malpais 
NE-3GR ,K-DLD2 ,Great Wildlands 
Nedegulf ,Gedur ,Metropolis 
NEH-CS ,XPBM-F ,Branch 
Nema ,Tid ,Aridia 
New Eden ,EVE ,Genesis 
NG-M8K ,MRC-29 ,Cache 
Nidebora ,Enka ,Devoid 
Nifshed ,Sosarir ,Domain 
Nimambal ,Hevaka ,Derelik 
Nisuwa ,Okakuola ,Black Rise 
NIZJ-0 ,7ZRW-G ,Esoteria 
NJ4X-S ,W-XBGF ,Tribute 
Nomaa ,Anttanen ,The Forge 
Nomash ,Mazake ,Domain 
Nouta ,Selonat ,Aridia 
NS2L-4 ,Q-IPAA ,Immensea 
NSBE-L ,QI1M-Q ,Scalding Pass 
NSI-MW ,XI0-X2 ,Malpais 
Nuken ,Aulari ,The Forge 
NZW-ZO ,EIX-HK ,Tenerifis 
O-7LAI ,U-EUG7 ,Insmother 
O-CT8N ,WF-OP4 ,Stain 
O-IVNH ,Balenne ,Cloud Ring 
O-JPKH ,304-QS ,Branch 
O-LR1H ,E-8CSQ ,Vale of the Silent 
O-MCZR ,17K-QM ,Paragon Soul 
O-N589 ,D9DM-O ,Paragon Soul 
O-QKSM ,Q0-4FU ,Perrigen Falls 
O1Y-ED ,UWRZ-2 ,Fade 
O2O-2X ,74IL-O ,Geminate 
O3L-95 ,H-6HGD ,Querious 
O7-7UX ,K-ZKBM ,Immensea 
Obanen ,Onirvura ,The Forge 
Oberen ,Heti ,Kador 
Obrolber ,Osta ,Heimatar 
Odin ,Ryra ,Devoid 
Odinesyn ,Orvanne ,Solitude 
Ogaria ,Elerelle ,Solitude 
OGL8-Q ,XR9-LP ,Catch 
OGY-6D ,K-JO26 ,Querious 
Ohkunen ,Orpana ,The Forge 
Oicx ,Amevync ,Placid 
Oishami ,Malariya ,Lonetrek 
OJ-CT4 ,L-1T22 ,Venal 
OKEO-X ,RL36-K ,Omist 
Onatoh ,Isoma ,The Citadel 
Onnamon ,Aokinen ,Black Rise 
OP7-BP ,9BGY-6 ,Perrigen Falls 
Ordize ,Kalangin ,Derelik 
Orien ,Besateoden ,Molden Heath 
Osaa ,Orpana ,The Forge 
Ossa ,Okunda ,Lonetrek 
Osvetur ,Eoldulf ,Molden Heath 
Otelen ,Sasen ,The Bleak Lands 
OTJ9-E ,E65-47 ,The Spire 
Otomainen ,Okkelen ,The Forge 
Otraren ,Benurad ,Heimatar 
OU-X3P ,Tinnimerci ,Cloud Ring 
Ourapheh ,Sanctum ,Genesis 
Outuni ,Ihilakken ,The Forge 
OXC-UL ,AV-SCL ,Feythabolis 
OXIY-V ,AZBG-H ,Providence 
P3EN-E ,Z-DO53 ,Vale of the Silent 
P5-EFH ,Taurus ,Fountain 
P65-TA ,E1L-UY ,The Spire 
P7MI-T ,MZ-PA2 ,Detorid 
P7Z-R3 ,C-ULS4 ,Branch 
P8-BKO ,RHG-4O ,Feythabolis 
P9F-ZG ,O-PQU0 ,Esoteria 
Pain ,Alselbosier ,Placid 
Parses ,Fekhoya ,Khanid 
Pashanai ,Ubar ,Genesis 
Paye ,Anidaza ,Tash-Murkon 
PE-H02 ,AJG-MV ,Esoteria 
PE-SAM ,X7-FTR ,Perrigen Falls 
PEK-8Z ,E-IFSA ,Tenerifis 
Pera ,Emsek ,Tash-Murkon 
Pertnineere ,Elose ,Solitude 
Peyiri ,Parrosa ,Kador 
PFV-ZH ,LWMW-6 ,Perrigen Falls 
Phoren ,Nasorin ,Tash-Murkon 
Pimsu ,Somi ,Tash-Murkon 
PNS7-J ,M-J57M ,Tenal 
PO-3QW ,C45-9Y ,Feythabolis 
Poitot ,Z-6NQ6 ,Syndicate 
POQP-K ,2747-4,Malpais 
PQRE-W ,GJH-1C ,Detorid 
Pserz ,Maal ,Aridia 
Pucherie ,Ambrye ,Sinq Laison 
PWPY-4 ,D-YKXH ,Malpais 
PXF-RF ,Minotaur ,Fountain 
PZMA-E ,EK-NQ2 ,Impass 
Q-K2T7 ,ENP-SH ,Scalding Pass 
Q-NA5H ,DITJ-X ,Scalding Pass 
Q-NJZ4 ,GP-GIU ,Branch 
Q-R3GP ,DMXN-3 ,Vale of the Silent 
Q-XEB3 ,Manticore ,Fountain 
Q1-R7K ,7ZRW-G ,Esoteria 
Q1U-IU ,1D-65L ,Tenal 
QA1-BT ,Assilot ,Cloud Ring 
QBL-BV ,4BZ-R3 ,Providence 
QFRV-2 ,AGI1-F ,Outer Passage 
QHH-13 ,X5O9-E ,Outer Passage 
QK-CDG ,JQA8-6 ,Feythabolis 
QKTR-L ,UBPU-9 ,Geminate 
QM-20X ,IYOO-M ,Great Wildlands 
QOK-SX ,IM-8S5 ,Outer Passage 
QQ3-YI ,IYOO-M ,Great Wildlands 
QR-K85 ,AZBG-H ,Providence 
QSCO-D ,MW49-U ,Malpais 
QY6-RK ,W-4U1E ,Delve 
R-2R0G ,LY-FY6 ,Pure Blind 
R-ARKN ,E-ILCH ,Esoteria 
R-ESG0 ,AP-S8F ,Great Wildlands 
R-ORB7 ,IJE6-J ,Immensea 
R0-DMM ,3GK-WS ,Wicked Creek 
R1O-GN ,P-B2NE ,The Kalevala Expanse 
R3W-XU ,Wyvern ,Fountain 
Raa ,Semou ,Devoid 
Raihbaka ,Inolari ,Black Rise 
Rakapas ,Okakuola ,Black Rise 
Raneilles ,Obray ,Verge Vendor 
Rannoze ,Comadu ,Kor-Azor 
Rauntaka ,Pietanen ,Lonetrek 
Rayeret ,Favo ,Kador 
RD-FWY ,N5V-Y0 ,Insmother 
Remoriu ,Nasorin ,Tash-Murkon 
Reteka ,Amdimmah ,Khanid 
RF-CN3 ,F-RA63 ,Querious 
Rimbah ,Armi ,Domain 
RJBC-I ,S-Q02B ,Oasa 
RO-0PZ ,M9-AN3 ,Etherium Reach 
Rokofur ,Wiedadur ,Heimatar 
RORZ-H ,LN-L8L ,Pure Blind 
Roushzar ,Jayai ,Devoid 
RUF3-O ,GDBW-2 ,Malpais 
Rumida ,Ajah ,Tash-Murkon 
Ruvas ,Karnola ,Lonetrek 
RXA-W1 ,E-UBWI ,The Spire 
RY-2FX ,X7-FTR ,Perrigen Falls 
RYQC-I ,OY3-DM ,Period Basis 
RZ-PIY ,1RG-GU ,Detorid 
RZC-16 ,304Z-R ,Pure Blind 
S-1LIO ,9P57-V ,Tenal 
S-51XG ,T875-C ,Detorid 
S-DN5M ,UTQ-BO ,Deklein 
S-MDYI ,304Z-R ,Pure Blind 
S-NJBB ,YUT3-U ,Vale of the Silent 
S5W-1Z ,PX0-P4 ,Malpais 
S8-NSQ ,03C-SU ,Tribute 
Safilbab ,Ajah ,Tash-Murkon 
Saikamon ,Vaarma ,The Bleak Lands 
Sakulda ,Almur ,Molden Heath 
Salah ,Naloran ,Kador 
Salashayama ,Mekashtad ,Derelik 
Saminer ,Anidaza ,Tash-Murkon 
Sankkasen ,Uusasai ,The Citadel 
Santola ,Uusasai ,The Citadel 
Sassecho ,Budar ,Khanid 
Sasta ,San Matar ,Derelik 
Sazre ,Nohshayess ,Khanid 
Scolluzer ,Ancbeu ,Verge Vendor 
Scuelazyns ,Elalan ,Everyshore 
Seiradih ,Mulata ,Domain 
Sendaya ,Anares ,Derelik 
Serad ,Mal ,Derelik 
Seshala ,Seevadin ,Khanid 
SH1-6P ,52-JKU ,Tribute 
SH6X-F ,78-6RI ,The Kalevala Expanse 
Shach ,Mal ,Derelik 
Shaha ,Finena ,Kor-Azor 
Shala ,Mossas ,Derelik 
Shamahi ,Anares ,Derelik 
Sharji ,Yekti ,Domain 
Sharuveil ,Disier ,Sinq Laison 
Shenela ,Anares ,Derelik 
Shihuken ,Anttanen ,The Forge 
Shuria ,Mobit ,Domain 
Sibe ,Ashela ,Genesis 
Sigga ,Ekrin ,Genesis 
Simela ,Aven ,Genesis 
Sirekur ,Essin ,Metropolis 
Sist ,Osta ,Heimatar 
Situner ,Stadakorn ,Metropolis 
SN9S-N ,E-ILCH ,Esoteria 
SNFV-I ,A-JI5E ,Catch 
Sobenah ,Armi ,Domain 
Somouh ,Hoosa ,Domain 
Sosan ,Jayai ,Devoid 
Sotrentaira ,Haurala ,Lonetrek 
Soza ,Maal ,Aridia 
SPLE-Y ,Manticore ,Fountain 
SR-KBB ,N-K4Q0 ,Geminate 
Stegette ,Stion ,Sinq Laison 
Stoure ,Goins ,Solitude 
SVB-RE ,BI-NFW ,Branch 
SY-OLX ,LWMW-6 ,Perrigen Falls 
SY-UWN ,HOV-VI ,Detorid 
SZ6-TA ,X-FHU3 ,Tenal 
T-0JWP ,D-95MV ,Detorid 
T-AKQZ ,6I-3VX ,Tenerifis 
T-K10W ,E-72A3 ,Tenal 
T-LIWS ,DS-M4Q ,Syndicate 
T-Q2DD ,BZ-10K ,Branch 
T-Z6J2 ,Regalia ,Outer Ring 
TA9T-P ,3NA-Z1 ,The Kalevala Expanse 
Tabbetzur ,Rollera ,Metropolis 
Tahli ,Reya ,Genesis 
TAL1-3 ,BXT7-V ,Perrigen Falls 
Talidal ,Sib ,Khanid 
Tama ,Isoma ,The Citadel 
Tartoken ,Umamon ,Lonetrek 
TCAG-3 ,N-39FI ,Period Basis 
TDE4-H ,74IL-O ,Geminate 
Teshkat ,Sukanan ,Tash-Murkon 
Teskanen ,Kurala ,Black Rise 
TET3-B ,V-LQBF ,Great Wildlands 
Tew ,Subhatoub ,Tash-Murkon 
TFPT-U ,J33-JR ,Outer Passage 
Thakala ,Abthi ,Devoid 
Tierijev ,Aideron ,Verge Vendor 
TJM-JJ ,F-ZNNG ,Geminate 
TL-T9Z ,JG-ZLG ,Stain 
Toustain ,Mobrault ,Solitude 
Tralasa ,Orus ,Kor-Azor 
TU-O0T ,XV7L-S ,Providence 
Tunttaras ,Okela ,Lonetrek 
TV8-HS ,YB7B-8 ,Querious 
TXME-A ,Z-D6K5 ,Deklein 
TYB-69 ,D-95MV ,Detorid 
Tzashrah ,Sib ,Khanid 
U-BXU9 ,L-H07K ,Feythabolis 
U-INPD ,WMP-OF ,Pure Blind 
U-MFTL ,D-95MV ,Detorid 
U-QMOA ,5HN-S5 ,Cache 
U-RELP ,O9X-CV ,Oasa 
U-TJ7Y ,D-AWFI ,Deklein 
U104-3 ,DJ-XCW ,Wicked Creek 
U2-28D ,02QH-A ,Scalding Pass 
U93O-A ,FQ-COP ,Cache 
U9SE-N ,DOCS-O ,Oasa 
U9U-TQ ,YENX-U ,Immensea 
UAYL-F ,Kraken ,Fountain 
UB5Z-3 ,OFQ-HG ,Feythabolis 
UC3H-Y ,K-QUVW ,Pure Blind 
Uchomida ,Aokinen ,Black Rise 
UD-VZW ,1ANT-J ,Feythabolis 
UI-8ZE ,0A-73B ,Pure Blind 
Ukkalen ,Otsabaira ,The Forge 
UKYS-5 ,Q4IG-S ,Stain 
Unel ,Agiesseson ,Sinq Laison 
UNJ-GX ,V-4QJC ,Great Wildlands 
Uotila ,Santenpaa ,The Citadel 
Uoyonen ,Okomon ,The Forge 
Uplingur ,Hevaka ,Derelik 
Ustnia ,Moghiz ,Kador 
UT-UZB ,V-LQBF ,Great Wildlands 
Uusanen ,Vaarma ,The Bleak Lands 
UVHO-F ,K-JO26 ,Querious 
UYU-VV ,8BO-IH ,Querious 
V-F6DQ ,CN5-F2 ,Scalding Pass 
V-QXXK ,E-95ID ,Insmother 
V0DF-2 ,1P-VL2 ,Tribute 
V6-NY1 ,Minotaur ,Fountain 
V7D-JD ,Paradise ,Curse 
V89M-R ,HRJG-D ,Great Wildlands 
Valmu ,Kashag ,Domain 
Varigne ,Besateoden ,Molden Heath 
VBPT-T ,N5V-Y0 ,Insmother 
Vecamia ,Nazdirer ,Genesis 
VI2K-J ,0-8MWQ ,Vale of the Silent 
Vifrevaert ,Vieres ,Essence 
VQE-CN ,J8-G8K ,Period Basis 
Vuorrassi ,Mito ,Lonetrek 
VVB-QH ,UL8-RD ,Malpais 
VWES-Y ,Q0-4FU ,Perrigen Falls 
W-4FA9 ,LIB-F9 ,Branch 
W-UQA5 ,03C-SU ,Tribute 
W6V-VM ,8BO-IH ,Querious 
WB-AYY ,QP6B-I ,Tenerifis 
WEQT-K ,H-QXM7 ,Stain 
Weraroix ,Orvanne ,Solitude 
WFFE-4 ,YCM-AI ,Scalding Pass 
WH-2EZ ,UBPU-9 ,Geminate 
WH-JCA ,52-JKU ,Tribute 
WHG2-7 ,41JS-R ,Stain 
WIO-OL ,J33-JR ,Outer Passage 
WPV-JN ,1VN-XC ,Etherium Reach 
WV-0R2 ,X-FHU3 ,Tenal 
WV0D-1 ,7VJ-7M ,Scalding Pass 
WW-KGD ,LY-FY6 ,Pure Blind 
Wysalan ,Thoulde ,Essence 
X-0CKQ ,O6W-QE ,Impass 
X-41DA ,HNZF-Z ,Cobalt Edge 
X-CYNC ,S-Q02B ,Oasa 
X-EHHD ,8MJO-4 ,Omist 
X-M9ON ,Miennue ,Cloud Ring 
X-Z4JW ,CZ-06R ,Oasa 
X36Y-G ,UWRZ-2 ,Fade 
X5O1-L ,JG-ZLG ,Stain 
X6-J6R ,AV-SCL ,Feythabolis 
X9V-15 ,51ZT-6 ,Scalding Pass 
XA5-TY ,5P4-QA ,Detorid 
XCBK-X ,RFY-QB ,Deklein 
XD-TOV ,03C-SU ,Tribute 
XFBE-T ,R-IZDC ,Stain 
XKM-DE ,4ZXC-8 ,Oasa 
XQP-9C ,E-95ID ,Insmother 
XSQ-TF ,YDS0-Y ,Vale of the Silent 
XT-R36 ,Yrton ,Cloud Ring 
XTVZ-E ,G-HISF ,Malpais 
XU7-CH ,O5PO-O ,Perrigen Falls 
XUPK-Z ,X5O9-E ,Outer Passage 
Y-770C ,CZ-06R ,Oasa 
Y-C4AL ,YENX-U ,Immensea 
Y-EQ0C ,EIX-HK ,Tenerifis 
Y-FZ5N ,EL8Z-M ,Immensea 
Y-K50G ,Hale ,Curse 
Y-ORBJ ,QP6B-I ,Tenerifis 
Y-RAW3 ,HNZF-Z ,Cobalt Edge 
Y-XZA7 ,D-YKXH ,Malpais 
Y1-UQ2 ,H26A-B ,Stain 
Y19P-1 ,K-ZKBM ,Immensea 
Y4-GQV ,V-LQBF ,Great Wildlands 
Y6-HPG ,1G-8KY ,Venal 
Yashunen ,Caldari Border Zone ,The Citadel 
Yeder ,Tsemshatel ,Tash-Murkon 
Yeeramoun ,Chardu ,Domain 
YG-82V ,E-312G ,Branch 
Yoma ,Asalola ,Lonetrek 
YQM-P1 ,J33-JR ,Outer Passage 
YRNJ-8 ,Taurus ,Fountain 
YRV-MZ ,FY6-NK ,Esoteria 
Yuhelia ,Maseend ,Domain 
YUY-LM ,K-DLD2 ,Great Wildlands 
Yuzier ,San Matar ,Derelik 
Yvelet ,Goins ,Solitude 
YZ9-F6 ,6-UCYU ,Delve 
Z-2Y2Y ,T875-C ,Detorid 
Z-7OK1 ,RL36-K ,Omist 
Z-8Q65 ,5YHF-H ,Vale of the Silent 
Z-K495 ,E-312G ,Branch 
Z-M5A1 ,OY3-DM ,Period Basis 
Z-N9IP ,EK-NQ2 ,Impass 
Z-PNIA ,C45-9Y ,Feythabolis 
Z-UZZN ,F-RA63 ,Querious 
Z-YN5Y ,Basilisk ,Fountain 
Z3V-1W ,XPJ1-6 ,Delve 
Z9PP-H ,Centaur ,Fountain 
ZA0L-U ,F-V9QW ,Vale of the Silent 
Zahefeus ,Homroon ,Khanid 
Zaimeth ,Zemont ,Domain 
ZD1-Z2 ,CL-QB2 ,Tenerifis 
ZID-LE ,3-PC31 ,Feythabolis 
Ziona ,Mobit ,Domain 
Ziriert ,Jakemhih ,Domain 
ZK-YQ3 ,O-EOI9 ,Tenal 
ZM-DNR ,BB8E-G ,Great Wildlands 
ZN0-SR ,Y4Y7-Q ,Syndicate 
ZO-4AR ,N5V-Y0 ,Insmother 
ZO-P5K ,W-3E44 ,Tenerifis 
ZOPZ-6 ,WS5L-X ,Malpais 
ZOYW-O ,S-B1E4 ,Deklein 
ZQ-Z3Y ,T-HHHT ,Catch 
ZXB-VC ,NJU-QV ,Delve 
ZZK-VF ,2FYX-H ,Outer Passage 